,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
20,3408,USDC,USDC,usd-coin,21485,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34508441413.37837,34508441413.37837,False,,6,,,,2024-08-14T04:33:00.000Z,1.000048098954961,5441485180.895139,-29.6137,-0.00880818,0.00979172,-0.00333839,-0.01648167,-0.01205368,0.00918809,34510101233.34769,1.6106,34510101233.35,,2024-08-14T04:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-08-13 23:45:11.114379
21,52,XRP,XRP,xrp,1364,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56113081096.0,99987342059.0,False,,7,,,,2024-08-14T04:34:00.000Z,0.5794971715669266,1274715885.5121706,-9.8061,0.09223663,2.3308952,11.76235763,9.69742687,21.54432562,11.87848812,32517371783.03758,1.5187,57949717156.69,,2024-08-14T04:34:00.000Z,,,,,,2024-08-13 23:45:11.114379
22,11419,Toncoin,TON,toncoin,502,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2518572762.4039674,5110453534.79118,True,,8,3414166606.0,22594991516.95227,,2024-08-14T04:33:00.000Z,6.618010813310693,334158824.26853216,-30.7464,1.63060752,6.02758527,14.23534776,-11.87602201,-17.56635382,-4.15266154,16667941775.69924,0.7785,33821036754.17,,2024-08-14T04:33:00.000Z,,,,,,2024-08-13 23:45:11.114379
23,74,Dogecoin,DOGE,dogecoin,1034,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145525506383.7052,145525506383.7052,True,,9,,,,2024-08-14T04:34:00.000Z,0.10610161986512595,493508459.0216522,-40.6143,-0.12662499,1.32073471,6.60592638,-9.76642139,-21.62754435,-32.40160922,15440491959.003849,0.7207,15440491959.0,,2024-08-14T04:34:00.000Z,,,,,,2024-08-13 23:45:11.114379
24,2010,Cardano,ADA,cardano,1221,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35934539971.56,37130259832.211,False,,10,,,,2024-08-14T04:33:00.000Z,0.34140270198604544,199896214.0133292,-27.9687,0.53105475,1.50891611,1.02860799,-21.47043788,-16.99779077,-25.84082941,12268149040.916136,0.5726,15363121589.37,,2024-08-14T04:33:00.000Z,,,,,,2024-08-13 23:45:11.114379
25,1958,TRON,TRX,tron,1006,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86975923026.99881,86975926157.14122,True,,11,71659659264.0,9276000547.805878,,2024-08-14T04:33:00.000Z,0.12944522264098882,255984913.67022955,-10.5791,-0.04725916,2.80116817,4.0629888,-6.3862257,11.18167608,3.80630443,11258617720.635366,0.5261,11258618125.82,,2024-08-14T04:33:00.000Z,,,,,,2024-08-13 23:45:11.114379
26,5805,Avalanche,AVAX,avalanche,761,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,395335997.3731093,444682367.3731093,False,,12,,,,2024-08-14T04:33:00.000Z,21.36159048097681,177471525.7621401,-27.5963,-0.24785341,2.26910194,-0.46388151,-20.49052783,-29.45716968,-38.67623053,8445005678.272883,0.3946,15289531022.56,,2024-08-14T04:33:00.000Z,,,,,,2024-08-13 23:45:11.114379
27,5994,Shiba Inu,SHIB,shiba-inu,855,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270363148840.4,589519075248301.8,False,,13,,,,2024-08-14T04:33:00.000Z,1.3849922089002908e-05,159133607.82531044,-34.3171,-0.07538706,0.96739054,0.62093418,-23.18537485,-32.63144697,-44.93839644,8161348618.96989,0.3814,8164793262.17,,2024-08-14T04:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-08-13 23:45:11.114379
28,1831,Bitcoin Cash,BCH,bitcoin-cash,909,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19746637.5,19746637.5,False,,14,,,,2024-08-14T04:33:00.000Z,348.3308838153726,213507434.10531953,-37.1479,-0.39759681,0.27480842,7.22647438,-10.2149871,-18.24934786,-23.91039216,6878363692.75678,0.3214,7314948560.12,,2024-08-14T04:33:00.000Z,,,,,,2024-08-13 23:45:11.114379
29,6636,Polkadot,DOT,polkadot-new,798,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1480807964.0474195,1480807964.0474195,True,,15,1480807964.8520236,6706943976.570037,,2024-08-14T04:34:00.000Z,4.52924628700269,102180795.72868049,-15.4588,-0.07187924,0.04342975,-1.29553202,-30.54601608,-26.41495938,-35.08740846,6706943972.925787,0.313,6706943972.93,,2024-08-14T04:34:00.000Z,,,,,,2024-08-13 23:45:11.114379
